Symbols,Brexit,2_years_later,Gain/(loss),% Gain/(loss)
FUTR.L,1277.8126220703125,3142.0,1864.1873779296875,145.88894691847153
FXPO.L,80.05670166015625,241.8000030517578,161.74330139160156,202.03592958177072
GAW.L,6161.26025390625,7940.0,1778.73974609375,28.86973886496721
GCP.L,105.07843780517578,103.28270721435547,-1.7957305908203125,-1.7089429842397803
GEN.L,510.89337158203125,572.0,61.10662841796875,11.960740110748766
GFTU.L,845.1799926757812,1152.0,306.82000732421875,36.30232731288964
GLO.L,160.645751953125,186.8000030517578,26.154251098632812,16.280698854871922
GNS.L,3029.959716796875,3790.068115234375,760.1083984375,25.086419275601767
GPE.L,886.9511108398438,761.5,-125.45111083984375,-14.144084077086902
GRG.L,2068.01806640625,2668.0,599.98193359375,29.012412577051784
GRI.L,283.71307373046875,299.79998779296875,16.0869140625,5.670134918697045
GROW.L,514.0,764.0,250.0,48.63813229571984
GSCT.L,135.23486328125,161.39999389648438,26.165130615234375,19.347918118435448
GSK.L,1512.6844482421875,1631.0653076171875,118.380859375,7.825879317564498
HAS.L,135.3497314453125,142.85084533691406,7.5011138916015625,5.542023476147315
HFG.L,963.4019165039062,1038.0,74.59808349609375,7.743194425728681
HGT.L,252.66583251953125,418.0,165.33416748046875,65.43590236629572
HICL.L,155.85240173339844,172.34706115722656,16.494659423828125,10.58351314472775
HIK.L,1727.8331298828125,2078.0,350.1668701171875,20.266243542913024
HILS.L,1341.51611328125,1494.0,152.48388671875,11.366534118310783
HL.L,1598.824462890625,1325.5772705078125,-273.2471923828125,-17.090506101513487
HLMA.L,2067.5556640625,2496.0,428.4443359375,20.722263655802042
HMSO.L,71.90706634521484,38.7599983215332,-33.14706802368164,-46.097094080500554
HRI.L,1474.0,2025.0,551.0,37.381275440976935
HSBA.L,489.8907470703125,527.5999755859375,37.709228515625,7.697477190809793
HSL.L,989.13818359375,1118.949951171875,129.811767578125,13.123724241085421
HSV.L,1221.998779296875,763.0,-458.998779296875,-37.561312422994234
HSX.L,1210.2747802734375,970.7999877929688,-239.47479248046875,-19.786811754134394
HTWS.L,147.10000610351562,153.60000610351562,6.5,4.418762563086428
HVPE.L,1836.0,2775.0,939.0,51.143790849673195
HWDN.L,645.7938232421875,812.0,166.2061767578125,25.736724443008708
IAG.L,525.0558471679688,156.0,-369.05584716796875,-70.28887482323483
IBST.L,264.0489501953125,197.1999969482422,-66.84895324707031,-25.316879009601546
ICGT.L,900.011474609375,1200.0,299.988525390625,33.331633412876954
ICP.L,1570.3489990234375,1896.5,326.1510009765625,20.769332242666312
IDS.L,178.12936401367188,440.3999938964844,262.2706298828125,147.23604462130263
IEM.L,321.4715576171875,452.0,130.5284423828125,40.60341865088029
IGG.L,564.4913940429688,789.5263061523438,225.034912109375,39.865074026663635
IHG.L,4462.93115234375,4861.0,398.06884765625,8.919448543300975
IHP.L,472.86846923828125,492.3999938964844,19.531524658203125,4.130434979026075
III.L,1008.322998046875,1370.0,361.677001953125,35.8691612363989
IMB.L,1467.77099609375,1704.469970703125,236.698974609375,16.126424029314755
IMI.L,995.0535888671875,1649.0,653.9464111328125,65.71971785733606
INCH.L,602.1068725585938,841.0,238.89312744140625,39.67620007827738
INDV.L,189.64999389648438,1125.0,935.3500061035156,493.1980153999122
INF.L,745.8090209960938,555.0,-190.80902099609375,-25.58416640512761
INPP.L,145.859130859375,167.8000030517578,21.940872192382812,15.042508523882772
INVP.L,282.3111267089844,424.5,142.18887329101562,50.36601814054201
IPO.L,67.2636947631836,96.4000015258789,29.136306762695312,43.31654225251228
ITRK.L,5406.9482421875,5344.0,-62.9482421875,-1.1642101860037948
ITV.L,116.77576446533203,112.1500015258789,-4.625762939453125,-3.9612354161264385
IWG.L,431.0332946777344,283.79998779296875,-147.23330688476562,-34.15822134919898
JAM.L,470.3035888671875,725.0,254.6964111328125,54.155744749108884
JD.L,163.6126708984375,188.0500030517578,24.437332153320312,14.936087785334045
JDW.L,1551.0,892.0,-659.0,-42.488716956802065
JEDT.L,363.4250183105469,483.5,120.07498168945312,33.03982269785538
JFJ.L,427.4803466796875,540.0,112.5196533203125,26.321596815917214
JGGI.L,311.7574462890625,448.7126770019531,136.95523071289062,43.930059199261365
JII.L,721.0,809.0,88.0,12.205270457697642
JLEN.L,100.22754669189453,104.00568389892578,3.77813720703125,3.76955969863801
JMAT.L,2413.73681640625,1940.0,-473.73681640625,-19.626697210161645
JMG.L,97.80199432373047,121.19999694824219,23.39800262451172,23.923850210112203
JTC.L,419.0140075683594,780.0,360.9859924316406,86.15129468499883
JUP.L,344.6914978027344,229.60000610351562,-115.09149169921875,-33.38971005460807
JUST.L,78.0,85.75,7.75,9.935897435897436
KGF.L,196.89614868164062,331.1000061035156,134.203857421875,68.15971684589314
KNOS.L,771.9254760742188,1521.0,749.0745239257812,97.03974634123354
LAND.L,869.75830078125,790.2000122070312,-79.55828857421875,-9.147172093989383
LGEN.L,263.16680908203125,287.3999938964844,24.233184814453125,9.208298302883417
LIO.L,1272.24462890625,1622.0,349.75537109375,27.49120437587817
LLOY.L,51.07773208618164,51.04999923706055,-0.02773284912109375,-0.0542953807626014
LMP.L,211.477294921875,266.79998779296875,55.32269287109375,26.160109950116077
LRE.L,721.9891967773438,547.0,-174.98919677734375,-24.237093513091605
LSEG.L,7666.71484375,7220.0,-446.71484375,-5.826678738601677
LWDB.L,550.8309326171875,801.0,250.1690673828125,45.4166700831729
LXI.L,123.11178588867188,145.47299194335938,22.3612060546875,18.163334966896183
MAB.L,360.8172912597656,250.39999389648438,-110.41729736328125,-30.601997198573223
MCRO.L,881.0001220703125,452.6000061035156,-428.4001159667969,-48.62656715189494
MDC.L,369.29998779296875,318.20001220703125,-51.0999755859375,-13.836982744387303
MGAM.L,293.9890441894531,320.0,26.010955810546875,8.847593583720363
MGNS.L,1696.2001953125,2120.0,423.7998046875,24.985246780343704
MKS.L,176.0,217.8000030517578,41.80000305175781,23.7500017339533
MNDI.L,1397.486083984375,1839.0,441.513916015625,31.593439181649945
MNG.L,207.28904724121094,215.60000610351562,8.310958862304688,4.009357451787444
MNKS.L,948.500732421875,1158.0,209.499267578125,22.087412314716456
MONY.L,290.9197998046875,189.10000610351562,-101.81979370117188,-34.999265697807374
MRC.L,247.1592254638672,244.0,-3.1592254638671875,-1.278214664226257
MRCH.L,471.17095947265625,566.2559204101562,95.0849609375,20.1805648302096
MRO.L,227.14056396484375,149.0,-78.14056396484375,-34.40185346063425
MSLH.L,775.185302734375,701.0,-74.185302734375,-9.570008934985617
MTO.L,68.04217529296875,60.0,-8.04217529296875,-11.819397687304393
MUT.L,822.4943237304688,872.7593383789062,50.2650146484375,6.111290157050292
MYI.L,1044.5662841796875,1170.0,125.4337158203125,12.008210270621298
NBPE.L,1098.526611328125,1750.0,651.473388671875,59.30428830342489
NCC.L,204.5723876953125,188.50941467285156,-16.062973022460938,-7.851975138690234
NESF.L,101.78868865966797,100.01351165771484,-1.775177001953125,-1.7439825832597728
NETW.L,603.1044311523438,262.70001220703125,-340.4044189453125,-56.44203580048421
NEX.L,425.17657470703125,250.0,-175.17657470703125,-41.200899844432165
NG.L,907.3619995117188,1079.5999755859375,172.23797607421875,18.982277874421197
NWG.L,221.0482940673828,261.0461120605469,39.99781799316406,18.094606050644938
NXT.L,6662.28955078125,7498.0,835.71044921875,12.543892649048116
OCDO.L,1223.5,1504.0,280.5,22.926031875766245
OSB.L,392.4487609863281,548.5,156.05123901367188,39.76346838794282
