Ticker,Name,Market,
FEV,FIDELITY EUROPEAN TRUST PLC ORD 2.5P,FTSE 250,
FGP,FIRSTGROUP PLC ORD 5P,FTSE 250,
FGT,FINSBURY GROWTH & INCOME TRUST PLC ORD 25P,FTSE 250,
FLTR,FLUTTER ENTERTAINMENT PLC ORD EUR0.09 (CDI),FTSE 100,
FOUR,4IMPRINT GROUP PLC ORD 38 6/13P,FTSE 250,
FRAS,FRASERS GROUP PLC ORD 10P,FTSE 100,
FRES,FRESNILLO PLC ORD USD0.50,FTSE 100,
FSFL,FORESIGHT SOLAR FUND LD ORD NPV,FTSE 250,
FSV,FIDELITY SPECIAL VALUES PLC ORD 5P,FTSE 250,
FUTR,FUTURE PLC ORD 15P,FTSE 250,
FXPO,FERREXPO PLC ORD 10P,FTSE 250,
GAW,GAMES WORKSHOP GROUP PLC ORD 5P,FTSE 250,
GCP,GCP INFRASTRUCTURE INVESTMENTS LD ORD 1P,FTSE 250,
GEN,GENUIT GROUP PLC ORD GBP0.001,FTSE 250,
GFTU,GRAFTON GROUP PLC UT (1 ORD) (CDI),FTSE 250,
GLEN   ,GLENCORE PLC ORD USD0.01,FTSE 100,
GLO,CONTOURGLOBAL PLC ORD 1P,FTSE 250,
GNS,GENUS PLC ORD 10P,FTSE 250,
GPE,GREAT PORTLAND ESTATES PLC ORD 15 5/19P,FTSE 250,
GRG,GREGGS PLC ORD 2P,FTSE 250,
GRI,GRAINGER PLC ORD 5P,FTSE 250,
GROW,MOLTEN VENTURES PLC ORD GBP0.01,FTSE 250,
GSCT,THE GLOBAL SMALLER CO'S TRUST PLC ORD 2.5P,FTSE 250,
GSK,GSK PLC ORD 31 1/4P,FTSE 100,
HAS,HAYS PLC ORD 1P,FTSE 250,
HBR,HARBOUR ENERGY PLC ORD 0.002P,FTSE 100,
HFG,HILTON FOOD GROUP PLC ORD 10P,FTSE 250,
HGT,HG CAPITAL TRUST PLC ORD 2.5P,FTSE 250,
HICL,HICL INFRASTRUCTURE PLC ORD 0.01P,FTSE 250,
HIK,HIKMA PHARMACEUTICALS PLC ORD SHS 10P,FTSE 250,
HILS,HILL & SMITH HLDGS PLC ORD 25P,FTSE 250,
HL.,HARGREAVES LANSDOWN PLC ORD 0.4P,FTSE 100,
HLMA,HALMA PLC ORD 10P,FTSE 100,
HLN,HALEON PLC ORD GBP0.01,FTSE 100,
HMSO,HAMMERSON PLC ORD 5P,FTSE 250,
HOME,HOME REIT PLC ORD GBP0.01,FTSE 250,
HRI,HERALD INV TST PLC ORD 25P,FTSE 250,
HSBA,HSBC HLDGS PLC ORD $0.50 (UK REG),FTSE 100,
HSL,HENDERSON SMALLER COS INV TST PLC ORD 25P,FTSE 250,
HSV,HOMESERVE PLC ORD 2 9/13P,FTSE 100,
HSX,HISCOX LD ORD 6.5P (DI),FTSE 250,
HTWS,HELIOS TOWERS PLC ORD 1P,FTSE 250,
HVPE,HARBOURVEST GLOBAL PRIVATE EQUITY L ORD NPV,FTSE 250,
HWDN,HOWDEN JOINERY GROUP PLC ORD 10P,FTSE 250,
IAG,INTL CONSOLIDATED AIRLINES GROUP SA ORD EUR0.10 (CDI),FTSE 100,
IBST,IBSTOCK PLC ORD 1P,FTSE 250,
ICGT,ICG ENTERPRISE TRUST PLC ORD 10P,FTSE 250,
ICP,INTERMEDIATE CAPITAL GROUP PLC ORD 26 1/4P,FTSE 100,
IDS,INTERNATIONAL DISTRIBUTIONS SERVICE ORD 1P,FTSE 250,
IEM,IMPAX ENVIRONMENTAL MARKETS PLC ORD 10P,FTSE 250,
